plateforme,nom_acheteur,annee,nb_marches,date
marches.maximilien.fr,CCAS de Châtenay-Malabry,2018,0,2020-08-31T18:16:52
marches.maximilien.fr,CCAS de Châtenay-Malabry,2019,4,2020-08-31T18:16:53
marches.maximilien.fr,CCAS de Châtenay-Malabry,2020,0,2020-08-31T18:16:54
marches.maximilien.fr,CCAS de la Commune de Coignières,2018,0,2020-08-31T18:16:55
marches.maximilien.fr,CCAS de la Commune de Coignières,2019,0,2020-08-31T18:16:56
marches.maximilien.fr,CCAS de la Commune de Coignières,2020,0,2020-08-31T18:16:56
marches.maximilien.fr,CCAS de la Garenne Colombes,2018,0,2020-08-31T18:16:57
marches.maximilien.fr,CCAS de la Garenne Colombes,2019,3,2020-08-31T18:16:58
marches.maximilien.fr,CCAS de la Garenne Colombes,2020,0,2020-08-31T18:16:59
marches.maximilien.fr,CCAS DE LA VILLE D'ANTONY,2018,0,2020-08-31T18:17:00
marches.maximilien.fr,CCAS DE LA VILLE D'ANTONY,2019,5,2020-08-31T18:17:01
marches.maximilien.fr,CCAS DE LA VILLE D'ANTONY,2020,0,2020-08-31T18:17:02
marches.maximilien.fr,CCAS de la Ville d'Issy les Moulineaux,2018,0,2020-08-31T18:17:03
marches.maximilien.fr,CCAS de la Ville d'Issy les Moulineaux,2019,0,2020-08-31T18:17:04
marches.maximilien.fr,CCAS de la Ville d'Issy les Moulineaux,2020,0,2020-08-31T18:17:04
marches.maximilien.fr,CCAS de la Ville De Chaville,2018,0,2020-08-31T18:17:05
marches.maximilien.fr,CCAS de la Ville De Chaville,2019,0,2020-08-31T18:17:06
marches.maximilien.fr,CCAS de la Ville De Chaville,2020,0,2020-08-31T18:17:07
marches.maximilien.fr,CCAS de la ville de Montigny-Le-Bretonneux ,2018,0,2020-08-31T18:17:08
marches.maximilien.fr,CCAS de la ville de Montigny-Le-Bretonneux ,2019,0,2020-08-31T18:17:09
marches.maximilien.fr,CCAS de la ville de Montigny-Le-Bretonneux ,2020,1,2020-08-31T18:17:10
marches.maximilien.fr,CCAS de Meudon,2018,0,2020-08-31T18:17:11
marches.maximilien.fr,CCAS de Meudon,2019,2,2020-08-31T18:17:11
marches.maximilien.fr,CCAS de Meudon,2020,0,2020-08-31T18:17:12
marches.maximilien.fr,CCAS de Paray-Vieille-Poste,2018,0,2020-08-31T18:17:13
marches.maximilien.fr,CCAS de Paray-Vieille-Poste,2019,0,2020-08-31T18:17:14
marches.maximilien.fr,CCAS de Paray-Vieille-Poste,2020,0,2020-08-31T18:17:15
marches.maximilien.fr,CCAS de Pierrefitte-sur-Seine,2018,0,2020-08-31T18:17:16
marches.maximilien.fr,CCAS de Pierrefitte-sur-Seine,2019,0,2020-08-31T18:17:17
marches.maximilien.fr,CCAS de Pierrefitte-sur-Seine,2020,0,2020-08-31T18:17:18
marches.maximilien.fr,CCAS de Savigny-Le-Temple,2018,0,2020-08-31T18:17:19
marches.maximilien.fr,CCAS de Savigny-Le-Temple,2019,0,2020-08-31T18:17:20
marches.maximilien.fr,CCAS de Savigny-Le-Temple,2020,0,2020-08-31T18:17:21
marches.maximilien.fr,CCAS de Suresnes,2018,0,2020-08-31T18:17:22
marches.maximilien.fr,CCAS de Suresnes,2019,0,2020-08-31T18:17:23
marches.maximilien.fr,CCAS de Suresnes,2020,0,2020-08-31T18:17:24
marches.maximilien.fr,CCAS de Viarme,2018,0,2020-08-31T18:17:25
marches.maximilien.fr,CCAS de Viarme,2019,0,2020-08-31T18:17:26
marches.maximilien.fr,CCAS de Viarme,2020,0,2020-08-31T18:17:27
marches.maximilien.fr,CCAS Lognes,2018,0,2020-08-31T18:17:28
marches.maximilien.fr,CCAS Lognes,2019,0,2020-08-31T18:17:28
marches.maximilien.fr,CCAS Lognes,2020,0,2020-08-31T18:17:29
marches.maximilien.fr,CD77 - Conseil départemental de Seine-et-Marne,2018,59,2020-08-31T18:17:30
marches.maximilien.fr,CD77 - Conseil départemental de Seine-et-Marne,2019,222,2020-08-31T18:17:33
marches.maximilien.fr,CD77 - Conseil départemental de Seine-et-Marne,2020,82,2020-08-31T18:17:39
marches.maximilien.fr,CD78 - Conseil départemental des Yvelines,2018,0,2020-08-31T18:17:40
marches.maximilien.fr,CD78 - Conseil départemental des Yvelines,2019,0,2020-08-31T18:17:41
marches.maximilien.fr,CD78 - Conseil départemental des Yvelines,2020,0,2020-08-31T18:17:42
marches.maximilien.fr,CD91 - Conseil départemental de l'Essonne,2018,73,2020-08-31T18:17:43
marches.maximilien.fr,CD91 - Conseil départemental de l'Essonne,2019,156,2020-08-31T18:17:46
marches.maximilien.fr,CD91 - Conseil départemental de l'Essonne,2020,77,2020-08-31T18:17:51
marches.maximilien.fr,CD92 - Conseil départemental des Hauts-de-Seine,2018,0,2020-08-31T18:17:53
marches.maximilien.fr,CD92 - Conseil départemental des Hauts-de-Seine,2019,0,2020-08-31T18:17:54
marches.maximilien.fr,CD92 - Conseil départemental des Hauts-de-Seine,2020,0,2020-08-31T18:17:55
marches.maximilien.fr,CD92 - Conseil départemental des Hauts-de-Seine,2018,16,2020-08-31T18:17:56
marches.maximilien.fr,CD92 - Conseil départemental des Hauts-de-Seine,2019,89,2020-08-31T18:17:57
marches.maximilien.fr,CD92 - Conseil départemental des Hauts-de-Seine,2020,0,2020-08-31T18:17:58
marches.maximilien.fr,CD93 - Conseil départemental de Seine-Saint-Denis,2018,0,2020-08-31T18:18:00
marches.maximilien.fr,CD93 - Conseil départemental de Seine-Saint-Denis,2019,0,2020-08-31T18:18:01
marches.maximilien.fr,CD93 - Conseil départemental de Seine-Saint-Denis,2020,0,2020-08-31T18:18:01
marches.maximilien.fr,CD93 - Conseil départemental de Seine-Saint-Denis - lien externe,2018,0,2020-08-31T18:18:02
marches.maximilien.fr,CD93 - Conseil départemental de Seine-Saint-Denis - lien externe,2019,0,2020-08-31T18:18:03
marches.maximilien.fr,CD93 - Conseil départemental de Seine-Saint-Denis - lien externe,2020,0,2020-08-31T18:18:04
marches.maximilien.fr,CD94 - Conseil départemental du Val-de-Marne,2018,15,2020-08-31T18:18:05
marches.maximilien.fr,CD94 - Conseil départemental du Val-de-Marne,2019,118,2020-08-31T18:18:06
marches.maximilien.fr,CD94 - Conseil départemental du Val-de-Marne,2020,103,2020-08-31T18:18:08
marches.maximilien.fr,CD95 - Conseil départemental du Val d'Oise,2018,0,2020-08-31T18:18:09
marches.maximilien.fr,CD95 - Conseil départemental du Val d'Oise,2019,135,2020-08-31T18:18:10
marches.maximilien.fr,CD95 - Conseil départemental du Val d'Oise,2020,53,2020-08-31T18:18:11
marches.maximilien.fr,CEFIPA - Centre de Formation d'Ingénieurs Par Alternance,2018,0,2020-08-31T18:18:13
marches.maximilien.fr,CEFIPA - Centre de Formation d'Ingénieurs Par Alternance,2019,0,2020-08-31T18:18:14
marches.maximilien.fr,CEFIPA - Centre de Formation d'Ingénieurs Par Alternance,2020,0,2020-08-31T18:18:15
marches.maximilien.fr,CENTQUATRE-PARIS,2018,0,2020-08-31T18:18:16
marches.maximilien.fr,CENTQUATRE-PARIS,2019,0,2020-08-31T18:18:16
marches.maximilien.fr,CENTQUATRE-PARIS,2020,0,2020-08-31T18:18:17
marches.maximilien.fr,Centre Communal d'Action Social de Vincennes ,2018,0,2020-08-31T18:18:18
marches.maximilien.fr,Centre Communal d'Action Social de Vincennes ,2019,1,2020-08-31T18:18:19
marches.maximilien.fr,Centre Communal d'Action Social de Vincennes ,2020,0,2020-08-31T18:18:20
marches.maximilien.fr,Centre communal d'action sociale ,2018,0,2020-08-31T18:18:21
marches.maximilien.fr,Centre communal d'action sociale ,2019,1,2020-08-31T18:18:22
marches.maximilien.fr,Centre communal d'action sociale ,2020,0,2020-08-31T18:18:23
marches.maximilien.fr,CENTRE COMMUNAL D'ACTION SOCIALE DE COMBS-LA-VILLE,2018,0,2020-08-31T18:18:23
marches.maximilien.fr,CENTRE COMMUNAL D'ACTION SOCIALE DE COMBS-LA-VILLE,2019,0,2020-08-31T18:18:24
marches.maximilien.fr,CENTRE COMMUNAL D'ACTION SOCIALE DE COMBS-LA-VILLE,2020,0,2020-08-31T18:18:25
marches.maximilien.fr,Centre Communal d'Action Sociale - Mairie de Beynes,2018,0,2020-08-31T18:18:26
marches.maximilien.fr,Centre Communal d'Action Sociale - Mairie de Beynes,2019,0,2020-08-31T18:18:27
marches.maximilien.fr,Centre Communal d'Action Sociale - Mairie de Beynes,2020,0,2020-08-31T18:18:28
marches.maximilien.fr,Centre Communal d'Action Sociale de Châtillon,2018,0,2020-08-31T18:18:29
marches.maximilien.fr,Centre Communal d'Action Sociale de Châtillon,2019,1,2020-08-31T18:18:30
marches.maximilien.fr,Centre Communal d'Action Sociale de Châtillon,2020,0,2020-08-31T18:18:31
marches.maximilien.fr,Centre communal d'action sociale de Neuilly-sur-Seine,2018,1,2020-08-31T18:18:32
marches.maximilien.fr,Centre communal d'action sociale de Neuilly-sur-Seine,2019,1,2020-08-31T18:18:33
marches.maximilien.fr,Centre communal d'action sociale de Neuilly-sur-Seine,2020,0,2020-08-31T18:18:34
marches.maximilien.fr,CENTRE COMMUNAL D'ACTIONS SOCIALES VSO,2018,0,2020-08-31T18:18:35
marches.maximilien.fr,CENTRE COMMUNAL D'ACTIONS SOCIALES VSO,2019,0,2020-08-31T18:18:35
marches.maximilien.fr,CENTRE COMMUNAL D'ACTIONS SOCIALES VSO,2020,0,2020-08-31T18:18:36
marches.maximilien.fr,Centre d’Action Sociale de la Ville de Paris ,2018,27,2020-08-31T18:18:37
marches.maximilien.fr,Centre d’Action Sociale de la Ville de Paris ,2019,115,2020-08-31T18:18:39
marches.maximilien.fr,Centre d’Action Sociale de la Ville de Paris ,2020,0,2020-08-31T18:18:40
marches.maximilien.fr,Centre Hospitalier de Saint Malo,2018,0,2020-08-31T18:18:41
marches.maximilien.fr,Centre Hospitalier de Saint Malo,2019,0,2020-08-31T18:18:42
marches.maximilien.fr,Centre Hospitalier de Saint Malo,2020,0,2020-08-31T18:18:43
marches.maximilien.fr,"Centre Hospitalier Intercommunal de Créteil, GHT Val de Marne Est",2018,0,2020-08-31T18:18:44
marches.maximilien.fr,"Centre Hospitalier Intercommunal de Créteil, GHT Val de Marne Est",2019,0,2020-08-31T18:18:45
marches.maximilien.fr,"Centre Hospitalier Intercommunal de Créteil, GHT Val de Marne Est",2020,0,2020-08-31T18:18:45
marches.maximilien.fr,Centre Hospitalier Victor Dupouy,2018,0,2020-08-31T18:18:46
marches.maximilien.fr,Centre Hospitalier Victor Dupouy,2019,0,2020-08-31T18:18:47
marches.maximilien.fr,Centre Hospitalier Victor Dupouy,2020,0,2020-08-31T18:18:48
marches.maximilien.fr,Centre Supérieur de Formation par l'Apprentissage,2018,0,2020-08-31T18:18:49
marches.maximilien.fr,Centre Supérieur de Formation par l'Apprentissage,2019,0,2020-08-31T18:18:50
marches.maximilien.fr,Centre Supérieur de Formation par l'Apprentissage,2020,0,2020-08-31T18:18:51
marches.maximilien.fr,Centres d'accueil Régionaux du Tourisme d'Ile-de-France ,2018,0,2020-08-31T18:18:52
marches.maximilien.fr,Centres d'accueil Régionaux du Tourisme d'Ile-de-France ,2019,3,2020-08-31T18:18:52
marches.maximilien.fr,Centres d'accueil Régionaux du Tourisme d'Ile-de-France ,2020,0,2020-08-31T18:18:53
marches.maximilien.fr,CHAILLOT - THÉÂTRE NATIONAL DE LA DANSE,2018,2,2020-08-31T18:18:54
marches.maximilien.fr,CHAILLOT - THÉÂTRE NATIONAL DE LA DANSE,2019,8,2020-08-31T18:18:55
marches.maximilien.fr,CHAILLOT - THÉÂTRE NATIONAL DE LA DANSE,2020,0,2020-08-31T18:18:56
marches.maximilien.fr,Choose Paris Region,2018,0,2020-08-31T18:18:57
marches.maximilien.fr,Choose Paris Region,2019,0,2020-08-31T18:18:58
marches.maximilien.fr,Choose Paris Region,2020,0,2020-08-31T18:18:59
marches.maximilien.fr,Comité Régional du Tourisme Ile-de-France,2018,1,2020-08-31T18:19:00
marches.maximilien.fr,Comité Régional du Tourisme Ile-de-France,2019,22,2020-08-31T18:19:01
marches.maximilien.fr,Comité Régional du Tourisme Ile-de-France,2020,0,2020-08-31T18:19:02
marches.maximilien.fr,Communauté d'Agglomération Rambouillet Territoires,2018,28,2020-08-31T18:19:03
marches.maximilien.fr,Communauté d'Agglomération Rambouillet Territoires,2019,17,2020-08-31T18:19:04
marches.maximilien.fr,Communauté d'Agglomération Rambouillet Territoires,2020,0,2020-08-31T18:19:05
marches.maximilien.fr,Communauté d'Agglomération du Pays de Meaux,2018,0,2020-08-31T18:19:06
marches.maximilien.fr,Communauté d'Agglomération du Pays de Meaux,2019,0,2020-08-31T18:19:07
marches.maximilien.fr,Communauté d'Agglomération du Pays de Meaux,2020,0,2020-08-31T18:19:08
marches.maximilien.fr,Communauté d'agglomération Paris Vallée de la Marne,2018,0,2020-08-31T18:19:09
marches.maximilien.fr,Communauté d'agglomération Paris Vallée de la Marne,2019,46,2020-08-31T18:19:10
marches.maximilien.fr,Communauté d'agglomération Paris Vallée de la Marne,2020,0,2020-08-31T18:19:12
marches.maximilien.fr,Communauté de communes Bassée Montois,2018,0,2020-08-31T18:19:13
marches.maximilien.fr,Communauté de communes Bassée Montois,2019,2,2020-08-31T18:19:13
marches.maximilien.fr,Communauté de communes Bassée Montois,2020,0,2020-08-31T18:19:14
marches.maximilien.fr,Communauté de Communes Brie des Rivières et Châteaux,2018,0,2020-08-31T18:19:16
marches.maximilien.fr,Communauté de Communes Brie des Rivières et Châteaux,2019,1,2020-08-31T18:19:16
marches.maximilien.fr,Communauté de Communes Brie des Rivières et Châteaux,2020,0,2020-08-31T18:19:17
marches.maximilien.fr,Communauté de Communes du Pays de Montereau,2018,0,2020-08-31T18:19:18
marches.maximilien.fr,Communauté de Communes du Pays de Montereau,2019,30,2020-08-31T18:19:19
marches.maximilien.fr,Communauté de Communes du Pays de Montereau,2020,0,2020-08-31T18:19:20
marches.maximilien.fr,Communauté de communes du Pays de Nemours,2018,0,2020-08-31T18:19:21
marches.maximilien.fr,Communauté de communes du Pays de Nemours,2019,0,2020-08-31T18:19:22
marches.maximilien.fr,Communauté de communes du Pays de Nemours,2020,0,2020-08-31T18:19:23
marches.maximilien.fr,Communauté urbaine Grand Paris Seine et Oise,2018,53,2020-08-31T18:19:24
marches.maximilien.fr,Communauté urbaine Grand Paris Seine et Oise,2019,130,2020-08-31T18:19:25
